Name,Overview URL
UC Irvine,"https://www.glassdoor.com/Overview/Working-at-UC-Irvine-EI_IE31144.11,20.htm"
Applied Materials,"https://www.glassdoor.com/Overview/Working-at-Applied-Materials-EI_IE1139.11,28.htm"
Illumina,"https://www.glassdoor.com/Overview/Working-at-Illumina-EI_IE11671.11,19.htm"
Abercrombie & Fitch,"https://www.glassdoor.com/Overview/Working-at-Abercrombie-and-Fitch-EI_IE6756.11,32.htm"
Jamba Juice,"https://www.glassdoor.com/Overview/Working-at-Jamba-Juice-EI_IE11191.11,22.htm"
Charles Schwab,"https://www.glassdoor.com/Overview/Working-at-Charles-Schwab-EI_IE144.11,25.htm"
J. C. Penney,"https://www.glassdoor.com/Overview/Working-at-J-C-Penney-EI_IE361.11,21.htm"
U.S. Bank,"https://www.glassdoor.com/Overview/Working-at-U-S-Bank-EI_IE8937.11,19.htm"
Los Angeles USD,"https://www.glassdoor.com/Overview/Working-at-Los-Angeles-USD-EI_IE111599.11,26.htm"
Vons,"https://www.glassdoor.com/Overview/Working-at-Vons-EI_IE707.11,15.htm"
Workday,"https://www.glassdoor.com/Overview/Working-at-Workday-EI_IE197851.11,18.htm"
J.P. Morgan,"https://www.glassdoor.com/Overview/Working-at-J-P-Morgan-EI_IE145.11,21.htm"
Sephora,"https://www.glassdoor.com/Overview/Working-at-Sephora-EI_IE14590.11,18.htm"
Sprouts Farmers Market,"https://www.glassdoor.com/Overview/Working-at-Sprouts-Farmers-Market-EI_IE134467.11,33.htm"
US Postal Service,"https://www.glassdoor.com/Overview/Working-at-US-Postal-Service-EI_IE3032.11,28.htm"
Thermo Fisher Scientific,"https://www.glassdoor.com/Overview/Working-at-Thermo-Fisher-Scientific-EI_IE658.11,35.htm"
PlayStation,"https://www.glassdoor.com/Overview/Working-at-PlayStation-EI_IE117138.11,22.htm"
Old Navy,"https://www.glassdoor.com/Overview/Working-at-Old-Navy-EI_IE18861.11,19.htm"
T-Mobile,"https://www.glassdoor.com/Overview/Working-at-T-Mobile-EI_IE9302.11,19.htm"
Network Capital,"https://www.glassdoor.com/Overview/Working-at-Network-Capital-EI_IE691419.11,26.htm"
Staples,"https://www.glassdoor.com/Overview/Working-at-Staples-EI_IE1909.11,18.htm"
E. & J. Gallo Winery,"https://www.glassdoor.com/Overview/Working-at-E-and-J-Gallo-Winery-EI_IE2778.11,31.htm"
Postmates,"https://www.glassdoor.com/Overview/Working-at-Postmates-EI_IE620298.11,20.htm"
Auto Club of Southern California,"https://www.glassdoor.com/Overview/Working-at-Auto-Club-of-Southern-California-EI_IE8784.11,43.htm"
Ashford University,"https://www.glassdoor.com/Overview/Working-at-Ashford-University-EI_IE241930.11,29.htm"
Walmart eCommerce,"https://www.glassdoor.com/Overview/Working-at-Walmart-eCommerce-EI_IE29449.11,28.htm"
Twitter,"https://www.glassdoor.com/Overview/Working-at-Twitter-EI_IE100569.11,18.htm"
Bank of the West,"https://www.glassdoor.com/Overview/Working-at-Bank-of-the-West-EI_IE3085.11,27.htm"
Riverbed Technology,"https://www.glassdoor.com/Overview/Working-at-Riverbed-Technology-EI_IE34920.11,30.htm"
Gilead Sciences,"https://www.glassdoor.com/Overview/Working-at-Gilead-Sciences-EI_IE2016.11,26.htm"
Zynga,"https://www.glassdoor.com/Overview/Working-at-Zynga-EI_IE243552.11,16.htm"
ADP,"https://www.glassdoor.com/Overview/Working-at-ADP-EI_IE64.11,14.htm"
Petco,"https://www.glassdoor.com/Overview/Working-at-Petco-EI_IE37962.11,16.htm"
NASA Jet Propulsion Laboratory,"https://www.glassdoor.com/Overview/Working-at-NASA-Jet-Propulsion-Laboratory-EI_IE116768.11,41.htm"
Marvell Semiconductor,"https://www.glassdoor.com/Overview/Working-at-Marvell-Semiconductor-EI_IE11761.11,32.htm"
Sprint,"https://www.glassdoor.com/Overview/Working-at-Sprint-EI_IE13345.11,17.htm"
Brocade,"https://www.glassdoor.com/Overview/Working-at-Brocade-EI_IE9183.11,18.htm"
Netflix,"https://www.glassdoor.com/Overview/Working-at-Netflix-EI_IE11891.11,18.htm"
loanDepot,"https://www.glassdoor.com/Overview/Working-at-loanDepot-EI_IE375743.11,20.htm"
Taco Bell,"https://www.glassdoor.com/Overview/Working-at-Taco-Bell-EI_IE10091.11,20.htm"
Blizzard Entertainment,"https://www.glassdoor.com/Overview/Working-at-Blizzard-Entertainment-EI_IE24858.11,33.htm"
Lawrence Livermore National Laboratory,"https://www.glassdoor.com/Overview/Working-at-Lawrence-Livermore-National-Laboratory-EI_IE35235.11,49.htm"
Victoria's Secret,"https://www.glassdoor.com/Overview/Working-at-Victoria-s-Secret-EI_IE13903.11,28.htm"
DoorDash,"https://www.glassdoor.com/Overview/Working-at-DoorDash-EI_IE813073.11,19.htm"
Marriott International,"https://www.glassdoor.com/Overview/Working-at-Marriott-International-EI_IE7790.11,33.htm"
Riot Games,"https://www.glassdoor.com/Overview/Working-at-Riot-Games-EI_IE247538.11,21.htm"
Subway,"https://www.glassdoor.com/Overview/Working-at-Subway-EI_IE2994.11,17.htm"
Instacart,"https://www.glassdoor.com/Overview/Working-at-Instacart-EI_IE714486.11,20.htm"
The Clorox Company,"https://www.glassdoor.com/Overview/Working-at-The-Clorox-Company-EI_IE158.11,29.htm"
Dignity Health,"https://www.glassdoor.com/Overview/Working-at-Dignity-Health-EI_IE2741.11,25.htm"
UC Riverside,"https://www.glassdoor.com/Overview/Working-at-UC-Riverside-EI_IE32531.11,23.htm"
Fry's Electronics,"https://www.glassdoor.com/Overview/Working-at-Fry-s-Electronics-EI_IE3186.11,28.htm"
UC Santa Barbara,"https://www.glassdoor.com/Overview/Working-at-UC-Santa-Barbara-EI_IE32519.11,27.htm"
Citi,https://www.glassdoor.com/citi
Synopsys,"https://www.glassdoor.com/Overview/Working-at-Synopsys-EI_IE2143.11,19.htm"
Irvine Company,"https://www.glassdoor.com/Overview/Working-at-Irvine-Company-EI_IE2846.11,25.htm"
Comcast,"https://www.glassdoor.com/Overview/Working-at-Comcast-EI_IE1280.11,18.htm"
Medtronic,"https://www.glassdoor.com/Overview/Working-at-Medtronic-EI_IE436.11,20.htm"
Peet's,"https://www.glassdoor.com/Overview/Working-at-Peet-s-EI_IE6860.11,17.htm"
Academy of Art University,"https://www.glassdoor.com/Overview/Working-at-Academy-of-Art-University-EI_IE115340.11,36.htm"
Levi Strauss,"https://www.glassdoor.com/Overview/Working-at-Levi-Strauss-EI_IE2872.11,23.htm"
Esri,"https://www.glassdoor.com/Overview/Working-at-Esri-EI_IE4043.11,15.htm"
CareFusion,"https://www.glassdoor.com/Overview/Working-at-CareFusion-EI_IE246891.11,21.htm"
San José State University,"https://www.glassdoor.com/Overview/Working-at-San-Jos%C3%A9-State-University-EI_IE27374.11,36.htm"
Kmart,"https://www.glassdoor.com/Overview/Working-at-Kmart-EI_IE370.11,16.htm"
US Department of Veterans Affairs,"https://www.glassdoor.com/Overview/Working-at-US-Department-of-Veterans-Affairs-EI_IE41429.11,44.htm"
Advantage Solutions,"https://www.glassdoor.com/Overview/Working-at-Advantage-Solutions-EI_IE9287.11,30.htm"
Cornerstone OnDemand,"https://www.glassdoor.com/Overview/Working-at-Cornerstone-OnDemand-EI_IE35131.11,31.htm"
Hertz,"https://www.glassdoor.com/Overview/Working-at-Hertz-EI_IE4071.11,16.htm"
Tata Consultancy Services,"https://www.glassdoor.com/Overview/Working-at-Tata-Consultancy-Services-EI_IE13461.11,36.htm"
Massage Envy,"https://www.glassdoor.com/Overview/Working-at-Massage-Envy-EI_IE114803.11,23.htm"
McKesson,"https://www.glassdoor.com/Overview/Working-at-McKesson-EI_IE434.11,19.htm"
Guidewire,"https://www.glassdoor.com/Overview/Working-at-Guidewire-EI_IE122537.11,20.htm"
SSL,"https://www.glassdoor.com/Overview/Working-at-SSL-EI_IE19196.11,14.htm"
Sony Pictures Entertainment,"https://www.glassdoor.com/Overview/Working-at-Sony-Pictures-Entertainment-EI_IE7878.11,38.htm"
Cheesecake Factory,"https://www.glassdoor.com/Overview/Working-at-Cheesecake-Factory-EI_IE2229.11,29.htm"
Stanford Health Care,"https://www.glassdoor.com/Overview/Working-at-Stanford-Health-Care-EI_IE11884.11,31.htm"
Ralphs,"https://www.glassdoor.com/Overview/Working-at-Ralphs-EI_IE6867.11,17.htm"
Glassdoor,https://www.glassdoor.com/glassdoor
