Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Size,Type,Website
"PwC, Deloitte, EY",1987,"New York, NY",Accounting,KPMG,,"https://www.glassdoor.com/Overview/Working-at-KPMG-EI_IE2867.11,15.htm",,$2 to $5 billion (USD) per year,10000+ employees,Subsidiary or Business Segment,us-jobs.kpmg.com
,1993,"Denver, CO",Casual Restaurants,Chipotle,,"https://www.glassdoor.com/Overview/Working-at-Chipotle-EI_IE15228.11,19.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (CMG),www.chipotle.com
,1922,"Waltham, MA",Aerospace & Defense,Raytheon,,"https://www.glassdoor.com/Overview/Working-at-Raytheon-EI_IE561.11,19.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (RTN),www.raytheon.com
,1955,"San Diego, CA",Aerospace & Defense,General Atomics,,"https://www.glassdoor.com/Overview/Working-at-General-Atomics-EI_IE5606.11,26.htm",,Unknown / Non-Applicable,10000+ employees,Company - Private,www.ga.com
"Room & Board, Design Within Reach, Pier 1 Imports",1956,"San Francisco, CA",Home Furniture & Housewares Stores,Williams-Sonoma,,"https://www.glassdoor.com/Overview/Working-at-Williams-Sonoma-EI_IE2043.11,26.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (WSM),www.williams-sonomainc.com
,1977,"Minnetonka, MN",Health Care Services & Hospitals,UnitedHealth Group,,"https://www.glassdoor.com/Overview/Working-at-UnitedHealth-Group-EI_IE1991.11,29.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (UNH),www.unitedhealthgroup.com
,1923,"Burbank, CA",Motion Picture Production & Distribution,Warner Bros.,,"https://www.glassdoor.com/Overview/Working-at-Warner-Bros-EI_IE13195.11,22.htm",,$10+ billion (USD) per year,5001 to 10000 employees,Company - Public (TWX),www.warnerbros.com
,1864,"San Francisco, CA",Banks & Credit Unions,Union Bank,,"https://www.glassdoor.com/Overview/Working-at-Union-Bank-EI_IE1985.11,21.htm",MUFG,$10+ billion (USD) per year,5001 to 10000 employees,Subsidiary or Business Segment,www.unionbank.com
Unknown,1947,"Washington, DC",Federal Agencies,US Air Force,,"https://www.glassdoor.com/Overview/Working-at-US-Air-Force-EI_IE41283.11,23.htm",,$10+ billion (USD) per year,10000+ employees,Government,www.af.mil
Unknown,1982,"Chicago, IL",Social Assistance,YMCA,,"https://www.glassdoor.com/Overview/Working-at-YMCA-EI_IE3046.11,15.htm",,$100 to $500 million (USD) per year,10000+ employees,Nonprofit Organization,www.ymca.net
"Riot Games, Google, Activision Blizzard",1982,"Redwood City, CA",Video Games,Electronic Arts,,"https://www.glassdoor.com/Overview/Working-at-Electronic-Arts-EI_IE1628.11,26.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (EA),www.ea.com
,2012,"San Francisco, CA",Computer Hardware & Software,Lyft,,"https://www.glassdoor.com/Overview/Working-at-Lyft-EI_IE700614.11,15.htm",,Unknown / Non-Applicable,1001 to 5000 employees,Company - Public (LYFT),www.lyft.com
Unknown,1906,"New York, NY",TV Broadcast & Cable Networks,NBCUniversal,,"https://www.glassdoor.com/Overview/Working-at-NBCUniversal-EI_IE32038.11,23.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (CMCSA),www.nbcuni.com
,1931,"Los Angeles, CA",Investment Banking & Asset Management,Capital Group,,"https://www.glassdoor.com/Overview/Working-at-Capital-Group-EI_IE9441.11,24.htm",,$1 to $2 billion (USD) per year,5001 to 10000 employees,Company - Private,www.capitalgroup.com
Unknown,1965,"Irvine, CA",Colleges & Universities,UC Irvine,,"https://www.glassdoor.com/Overview/Working-at-UC-Irvine-EI_IE31144.11,20.htm",,$1 to $2 billion (USD) per year,10000+ employees,College / University,www.uci.edu
Unknown,1967,"Santa Clara, CA",Electrical & Electronic Manufacturing,Applied Materials,,"https://www.glassdoor.com/Overview/Working-at-Applied-Materials-EI_IE1139.11,28.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (AMAT),www.appliedmaterials.com
,1998,"San Diego, CA",Biotech & Pharmaceuticals,Illumina,,"https://www.glassdoor.com/Overview/Working-at-Illumina-EI_IE11671.11,19.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (ILMN),www.illumina.com
"American Eagle Outfitters, Ralph Lauren, J. Crew",1892,"New Albany, OH",Unknown,Abercrombie & Fitch,,"https://www.glassdoor.com/Overview/Working-at-Abercrombie-and-Fitch-EI_IE6756.11,32.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (ANF),www.abercrombie.com
Unknown,Unknown,"Frisco, TX",Fast-Food & Quick-Service Restaurants,Jamba Juice,,"https://www.glassdoor.com/Overview/Working-at-Jamba-Juice-EI_IE11191.11,22.htm",,$100 to $500 million (USD) per year,1001 to 5000 employees,Company - Public (JMBA),www.jambajuice.com
,1973,"San Francisco, CA",Investment Banking & Asset Management,Charles Schwab,,"https://www.glassdoor.com/Overview/Working-at-Charles-Schwab-EI_IE144.11,25.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (SCHW),www.schwab.com
"Macy's, Kohl's, Dillard's",1902,"Plano, TX","Department, Clothing, & Shoe Stores",J. C. Penney,,"https://www.glassdoor.com/Overview/Working-at-J-C-Penney-EI_IE361.11,21.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (JCP),www.jcpenney.com
,1863,"Minneapolis, MN",Banks & Credit Unions,U.S. Bank,,"https://www.glassdoor.com/Overview/Working-at-U-S-Bank-EI_IE8937.11,19.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (USB),www.usbank.com
Unknown,1961,"Los Angeles, CA",Colleges & Universities,Los Angeles USD,,"https://www.glassdoor.com/Overview/Working-at-Los-Angeles-USD-EI_IE111599.11,26.htm",,$2 to $5 billion (USD) per year,10000+ employees,School / School District,www.lausd.net
Unknown,2001,"Pleasanton, CA",Grocery Stores & Supermarkets,Vons,,"https://www.glassdoor.com/Overview/Working-at-Vons-EI_IE707.11,15.htm",Albertsons Companies,$5 to $10 billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.vons.com
,2005,"Pleasanton, CA",Computer Hardware & Software,Workday,,"https://www.glassdoor.com/Overview/Working-at-Workday-EI_IE197851.11,18.htm",,$1 to $2 billion (USD) per year,5001 to 10000 employees,Company - Public (WDAY),www.workday.com
,1799,"New York, NY",Investment Banking & Asset Management,J.P. Morgan,,"https://www.glassdoor.com/Overview/Working-at-J-P-Morgan-EI_IE145.11,21.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (JPM),www.jpmorgan.com
,1969,"San Francisco, CA",Beauty & Personal Accessories Stores,Sephora,,"https://www.glassdoor.com/Overview/Working-at-Sephora-EI_IE14590.11,18.htm",LVMH,$2 to $5 billion (USD) per year,10000+ employees,Company - Private,jobs.sephora.com
"Whole Foods Market, Market Street United, Trader Joe's",2002,"Phoenix, AZ",Food & Beverage Stores,Sprouts Farmers Market,,"https://www.glassdoor.com/Overview/Working-at-Sprouts-Farmers-Market-EI_IE134467.11,33.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (SFM),www.sprouts.com
Unknown,1971,"Washington, DC",Logistics & Supply Chain,US Postal Service,,"https://www.glassdoor.com/Overview/Working-at-US-Postal-Service-EI_IE3032.11,28.htm",,$10+ billion (USD) per year,10000+ employees,Government,www.usps.com
,1902,"Waltham, MA",Biotech & Pharmaceuticals,Thermo Fisher Scientific,,"https://www.glassdoor.com/Overview/Working-at-Thermo-Fisher-Scientific-EI_IE658.11,35.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (TMO),www.thermofisher.com
