Benefits URL,Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Salary URL,Size,Type,Website
"https://www.glassdoor.com/Benefits/MobiTV-US-Benefits-EI_IE38248.0,6_IL.7,9_IN1.htm",,1999,"Emeryville, CA",Computer Hardware & Software,MobiTV,,"https://www.glassdoor.com/Overview/Working-at-MobiTV-EI_IE38248.11,17.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/MobiTV-Salaries-E38248.htm,201 to 500 employees,Company - Private,www.mobitv.com
"https://www.glassdoor.com/Benefits/ICDC-College-US-Benefits-EI_IE331399.0,12_IL.13,15_IN1.htm",Unknown,Unknown,"Culver City, CA",Colleges & Universities,ICDC College,,"https://www.glassdoor.com/Overview/Working-at-ICDC-College-EI_IE331399.11,23.htm",,Unknown / Non-Applicable per year,https://www.glassdoor.com/Salary/ICDC-College-Salaries-E331399.htm,201 to 500 employees,College / University,www.icdccollege.edu
"https://www.glassdoor.com/Benefits/Intelliloan-US-Benefits-EI_IE380264.0,11_IL.12,14_IN1.htm",Unknown,1993,"Irvine, CA",Lending,Intelliloan,,"https://www.glassdoor.com/Overview/Working-at-Intelliloan-EI_IE380264.11,22.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/Intelliloan-Salaries-E380264.htm,51 to 200 employees,Company - Private,www.intelliloan.com
"https://www.glassdoor.com/Benefits/Shell-US-Benefits-EI_IE5833.0,5_IL.6,8_IN1.htm",,1907,"Houston, TX",Oil & Gas Exploration & Production,Shell,,"https://www.glassdoor.com/Overview/Working-at-Shell-EI_IE5833.11,16.htm",,$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Shell-Salaries-E5833.htm,10000+ employees,Company - Public (RDSA),www.shell.us
"https://www.glassdoor.com/Benefits/U-Haul-US-Benefits-EI_IE236315.0,6_IL.7,9_IN1.htm",Unknown,1945,"Reno, NV",Truck Rental & Leasing,U-Haul,,"https://www.glassdoor.com/Overview/Working-at-U-Haul-EI_IE236315.11,17.htm",,$10+ billion (USD) per year,https://www.glassdoor.com/Salary/U-Haul-Salaries-E236315.htm,10000+ employees,Company - Public (UHAL),www.uhaul.com
"https://www.glassdoor.com/Benefits/Bechtel-US-Benefits-EI_IE2731.0,7_IL.8,10_IN1.htm",,1898,"San Francisco, CA",Architectural & Engineering Services,Bechtel,,"https://www.glassdoor.com/Overview/Working-at-Bechtel-EI_IE2731.11,18.htm",,$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Bechtel-Salaries-E2731.htm,10000+ employees,Company - Private,www.bechtel.com
"https://www.glassdoor.com/Benefits/Primerica-US-Benefits-EI_IE13616.0,9_IL.10,12_IN1.htm","MetLife, Prudential",1977,"Duluth, GA",Insurance Carriers,Primerica,,"https://www.glassdoor.com/Overview/Working-at-Primerica-EI_IE13616.11,20.htm",,$1 to $2 billion (USD) per year,https://www.glassdoor.com/Salary/Primerica-Salaries-E13616.htm,1001 to 5000 employees,Company - Public (PRI),www.primerica.com
"https://www.glassdoor.com/Benefits/Social-Security-Administration-US-Benefits-EI_IE41689.0,30_IL.31,33_IN1.htm",Unknown,1937,"Baltimore, MD",Federal Agencies,Social Security Administration,,"https://www.glassdoor.com/Overview/Working-at-Social-Security-Administration-EI_IE41689.11,41.htm",,Unknown / Non-Applicable per year,https://www.glassdoor.com/Salary/Social-Security-Administration-Salaries-E41689.htm,10000+ employees,Government,www.ssa.gov
"https://www.glassdoor.com/Benefits/Colliers-International-US-Benefits-EI_IE12136.0,22_IL.23,25_IN1.htm",,1898,"Toronto, ON (Canada)",Real Estate,Colliers International,,"https://www.glassdoor.com/Overview/Working-at-Colliers-International-EI_IE12136.11,33.htm",,$2 to $5 billion (USD) per year,https://www.glassdoor.com/Salary/Colliers-International-Salaries-E12136.htm,10000+ employees,Company - Public (CIGI),www.colliers.com
"https://www.glassdoor.com/Benefits/ReachLocal-US-Benefits-EI_IE153347.0,10_IL.11,13_IN1.htm",,2003,"Woodland Hills, CA",Advertising & Marketing,ReachLocal,,"https://www.glassdoor.com/Overview/Working-at-ReachLocal-EI_IE153347.11,21.htm",Gannett,$500 million to $1 billion (USD) per year,https://www.glassdoor.com/Salary/ReachLocal-Salaries-E153347.htm,1001 to 5000 employees,Subsidiary or Business Segment,www.reachlocal.com
"https://www.glassdoor.com/Benefits/Check-Point-Software-Technologies-US-Benefits-EI_IE6161.0,33_IL.34,36_IN1.htm",,1993,"San Carlos, CA",Computer Hardware & Software,Check Point Software Technologies,,"https://www.glassdoor.com/Overview/Working-at-Check-Point-Software-Technologies-EI_IE6161.11,44.htm",,$1 to $2 billion (USD) per year,https://www.glassdoor.com/Salary/Check-Point-Software-Technologies-Salaries-E6161.htm,5001 to 10000 employees,Company - Public (CHKP),www.checkpoint.com
